,datetime,spot_price,strikePrice,T,iv_put,iv_put_percent,iv_call,iv_call_percent,call_iv_prev_change,put_iv_prev_change,sumOfPriceChange
44,2025-06-03 14:06:03,24575.95,24600,0.005639,0.179547,17.95,0.214196,21.42,0.15,-0.1,0.04999999999999999
45,2025-06-03 14:07:04,24576.3,24600,0.005637,0.177138,17.71,0.212312,21.23,-0.19,-0.24,-0.43
46,2025-06-03 14:08:03,24571.45,24550,0.005635,0.173683,17.37,0.213918,21.39,0.16,-0.34,-0.18000000000000002
47,2025-06-03 14:09:03,24575.2,24550,0.005633,0.172776,17.28,0.212016,21.2,-0.19,-0.09,-0.28
48,2025-06-03 14:10:04,24570.05,24550,0.005632,0.172778,17.28,0.211693,21.17,-0.03,0.0,-0.03
49,2025-06-03 14:11:03,24574.15,24550,0.00563,0.174515,17.45,0.211473,21.15,-0.02,0.17,0.15000000000000002
50,2025-06-03 14:12:04,24572.45,24550,0.005628,0.178038,17.8,0.216571,21.66,0.51,0.35,0.86
51,2025-06-03 14:13:03,24570.65,24550,0.005626,0.184988,18.5,0.212913,21.29,-0.37,0.7,0.32999999999999996
52,2025-06-03 14:14:03,24561.6,24550,0.005624,0.174545,17.45,0.224014,22.4,1.11,-1.05,0.06000000000000005
53,2025-06-03 14:15:04,24577.15,24600,0.005622,0.18049,18.05,0.220357,22.04,-0.36,0.6,0.24
54,2025-06-03 14:16:04,24577.85,24600,0.00562,0.184989,18.5,0.219618,21.96,-0.08,0.45,0.37
55,2025-06-03 14:17:03,24578.85,24600,0.005618,0.186888,18.69,0.223496,22.35,0.39,0.19,0.5800000000000001
56,2025-06-03 14:18:03,24580.65,24600,0.005616,0.189256,18.93,0.224223,22.42,0.07,0.24,0.31
57,2025-06-03 14:19:04,24577.9,24600,0.005614,0.190319,19.03,0.22165,22.17,-0.25,0.1,-0.15
58,2025-06-03 14:20:03,24571.25,24550,0.005613,0.185184,18.52,0.225092,22.51,0.34,-0.51,-0.16999999999999998
59,2025-06-03 14:21:04,24567.5,24550,0.005611,0.186646,18.66,0.222145,22.21,-0.3,0.14,-0.15999999999999998
60,2025-06-03 14:22:03,24563.05,24550,0.005609,0.180574,18.06,0.218853,21.89,-0.32,-0.6,-0.9199999999999999
61,2025-06-03 14:23:03,24566.15,24550,0.005607,0.180843,18.08,0.218843,21.88,-0.01,0.02,0.01
62,2025-06-03 14:24:04,24570.25,24550,0.005605,0.177692,17.77,0.218235,21.82,-0.06,-0.31,-0.37
63,2025-06-03 14:25:03,24576.0,24600,0.005603,0.176004,17.6,0.2121,21.21,-0.61,-0.17,-0.78
64,2025-06-03 14:26:04,24573.45,24500,0.005601,0.178704,17.87,0.216785,21.68,0.47,0.27,0.74
65,2025-06-03 14:27:04,24575.4,24550,0.005599,0.175153,17.52,0.210287,21.03,-0.65,-0.35,-1.0
66,2025-06-03 14:28:03,24568.9,24550,0.005597,0.175401,17.54,0.210666,21.07,0.04,0.02,0.06
67,2025-06-03 14:29:04,24568.8,24550,0.005595,0.171078,17.11,0.209774,20.98,-0.09,-0.43,-0.52
68,2025-06-03 14:30:04,24561.8,24550,0.005593,0.169544,16.95,0.208037,20.8,-0.18,-0.16,-0.33999999999999997
69,2025-06-03 14:31:04,24570.35,24550,0.005592,0.167611,16.76,0.211755,21.18,0.38,-0.19,0.19
70,2025-06-03 14:32:03,24574.15,24550,0.00559,0.166069,16.61,0.208305,20.83,-0.35,-0.15,-0.5
71,2025-06-03 14:33:03,24579.2,24600,0.005588,0.164354,16.44,0.208607,20.86,0.03,-0.17,-0.14
72,2025-06-03 14:34:03,24582.35,24600,0.005586,0.16756,16.76,0.205685,20.57,-0.29,0.32,0.030000000000000027
73,2025-06-03 14:35:03,24582.45,24600,0.005584,0.165775,16.58,0.208439,20.84,0.27,-0.18,0.09000000000000002
74,2025-06-03 14:36:03,24583.2,24600,0.005582,0.169038,16.9,0.207526,20.75,-0.09,0.32,0.23
75,2025-06-03 14:37:03,24589.1,24600,0.00558,0.170073,17.01,0.209812,20.98,0.23,0.11,0.34
76,2025-06-03 14:38:03,24589.8,24600,0.005578,0.165547,16.55,0.214975,21.5,0.52,-0.46,0.06
77,2025-06-03 14:39:04,24592.7,24600,0.005576,0.170792,17.08,0.211765,21.18,-0.32,0.53,0.21000000000000002
78,2025-06-03 14:40:04,24587.95,24600,0.005574,0.167112,16.71,0.211485,21.15,-0.03,-0.37,-0.4
79,2025-06-03 14:41:03,24582.6,24550,0.005573,0.166678,16.67,0.213196,21.32,0.17,-0.04,0.13
80,2025-06-03 14:42:04,24593.25,24600,0.005571,0.166076,16.61,0.21084,21.08,-0.24,-0.06,-0.3
81,2025-06-03 14:43:03,24592.1,24600,0.005569,0.164465,16.45,0.206608,20.66,-0.42,-0.16,-0.58
82,2025-06-03 14:44:03,24590.65,24600,0.005567,0.162623,16.26,0.207182,20.72,0.06,-0.19,-0.13
83,2025-06-03 14:45:04,24586.3,24550,0.005565,0.162709,16.27,0.209748,20.97,0.25,0.01,0.26
84,2025-06-03 14:46:03,24579.45,24600,0.005563,0.158808,15.88,0.211885,21.19,0.22,-0.39,-0.17
85,2025-06-03 14:47:04,24582.7,24600,0.005561,0.160009,16.0,0.211095,21.11,-0.08,0.12,0.039999999999999994
86,2025-06-03 14:48:03,24579.3,24600,0.005559,0.161299,16.13,0.207098,20.71,-0.4,0.13,-0.27
87,2025-06-03 14:49:03,24578.7,24600,0.005557,0.164107,16.41,0.207565,20.76,0.05,0.28,0.33
88,2025-06-03 14:50:04,24572.05,24550,0.005555,0.170212,17.02,0.210389,21.04,0.28,0.61,0.89
89,2025-06-03 14:51:03,24573.9,24550,0.005554,0.168957,16.9,0.214076,21.41,0.37,-0.12,0.25
90,2025-06-03 14:52:04,24563.05,24550,0.005552,0.171999,17.2,0.212523,21.25,-0.16,0.3,0.13999999999999999
91,2025-06-03 14:53:03,24562.0,24550,0.00555,0.164764,16.48,0.220294,22.03,0.78,-0.72,0.06000000000000005
92,2025-06-03 14:54:04,24569.6,24550,0.005548,0.169322,16.93,0.215885,21.59,-0.44,0.45,0.010000000000000009
93,2025-06-03 14:55:04,24568.25,24550,0.005546,0.168449,16.84,0.220785,22.08,0.49,-0.09,0.4
94,2025-06-03 14:56:03,24565.0,24550,0.005544,0.169957,17.0,0.222771,22.28,0.2,0.16,0.36
95,2025-06-03 14:57:04,24564.55,24550,0.005542,0.169637,16.96,0.226605,22.66,0.38,-0.04,0.34
96,2025-06-03 14:58:03,24559.5,24550,0.00554,0.171017,17.1,0.224546,22.45,-0.21,0.14,-0.06999999999999998
97,2025-06-03 14:59:03,24562.15,24550,0.005538,0.170013,17.0,0.225215,22.52,0.07,-0.1,-0.03
98,2025-06-03 15:00:04,24567.85,24550,0.005536,0.171897,17.19,0.223692,22.37,-0.15,0.19,0.04000000000000001
99,2025-06-03 15:01:03,24564.35,24550,0.005535,0.168451,16.85,0.231018,23.1,0.73,-0.34,0.38999999999999996
100,2025-06-03 15:02:04,24560.35,24550,0.005533,0.172075,17.21,0.225047,22.5,-0.6,0.36,-0.24
101,2025-06-03 15:03:03,24545.75,24550,0.005531,0.171715,17.17,0.225739,22.57,0.07,-0.04,0.030000000000000006
102,2025-06-03 15:04:03,24543.9,24550,0.005529,0.176807,17.68,0.228732,22.87,0.3,0.51,0.81
103,2025-06-03 15:05:04,24544.2,24550,0.005527,0.174648,17.46,0.230247,23.02,0.15,-0.22,-0.07
104,2025-06-03 15:06:03,24545.95,24550,0.005525,0.174918,17.49,0.227805,22.78,-0.24,0.03,-0.21
105,2025-06-03 15:07:03,24541.7,24550,0.005523,0.171495,17.15,0.227897,22.79,0.01,-0.34,-0.33
106,2025-06-03 15:08:04,24544.85,24550,0.005521,0.171933,17.19,0.217752,21.78,-1.01,0.04,-0.97
107,2025-06-03 15:09:03,24535.65,24550,0.005519,0.171346,17.13,0.216438,21.64,-0.14,-0.06,-0.2
108,2025-06-03 15:10:04,24539.05,24550,0.005517,0.173356,17.34,0.217237,21.72,0.08,0.21,0.29
109,2025-06-03 15:11:04,24540.85,24550,0.005515,0.173309,17.33,0.216358,21.64,-0.08,-0.01,-0.09
110,2025-06-03 15:12:03,24536.8,24550,0.005514,0.172379,17.24,0.215662,21.57,-0.07,-0.09,-0.16
111,2025-06-03 15:13:03,24539.35,24550,0.005512,0.173956,17.4,0.216414,21.64,0.07,0.16,0.23
112,2025-06-03 15:14:04,24538.45,24550,0.00551,0.176773,17.68,0.21551,21.55,-0.09,0.28,0.19000000000000003
