datetime,straddle_value
2025-05-22 09:16:00,204.95
2025-05-22 09:17:00,202.8
2025-05-22 09:18:00,198.64999999999998
2025-05-22 09:19:00,215.15
2025-05-22 09:20:00,213.4
2025-05-22 09:21:00,218.9
2025-05-22 09:22:00,208.10000000000002
2025-05-22 09:23:00,209.85000000000002
2025-05-22 09:24:00,207.35000000000002
2025-05-22 09:25:00,200.7
2025-05-22 09:26:00,193.39999999999998
2025-05-22 09:27:00,193.8
2025-05-22 09:28:00,195.0
2025-05-22 09:29:00,188.7
2025-05-22 09:30:00,174.0
2025-05-22 09:31:00,176.0
2025-05-22 09:32:00,165.05
2025-05-22 09:33:00,162.1
2025-05-22 09:34:00,156.45
2025-05-22 09:35:00,149.14999999999998
2025-05-22 09:36:00,157.35
2025-05-22 09:37:00,159.4
2025-05-22 09:38:00,155.8
2025-05-22 09:39:00,151.35
2025-05-22 09:40:00,150.05
2025-05-22 09:41:00,159.3
2025-05-22 09:42:00,147.65
2025-05-22 09:43:00,138.1
2025-05-22 09:44:00,137.4
2025-05-22 09:45:00,133.4
2025-05-22 09:46:00,119.35
2025-05-22 09:47:00,115.25
2025-05-22 09:48:00,114.5
2025-05-22 09:49:00,115.0
2025-05-22 09:50:00,134.65
2025-05-22 09:51:00,115.19999999999999
2025-05-22 09:52:00,108.35
2025-05-22 09:53:00,104.7
2025-05-22 09:54:00,120.30000000000001
2025-05-22 09:55:00,117.6
2025-05-22 09:56:00,114.1
2025-05-22 09:57:00,117.25
2025-05-22 09:58:00,113.5
2025-05-22 09:59:00,112.05000000000001
2025-05-22 10:00:00,132.45
2025-05-22 10:01:00,117.0
2025-05-22 10:02:00,108.69999999999999
2025-05-22 10:03:00,113.80000000000001
2025-05-22 10:04:00,133.25
2025-05-22 10:05:00,109.9
2025-05-22 10:06:00,112.60000000000001
2025-05-22 10:07:00,113.8
2025-05-22 10:08:00,111.0
2025-05-22 10:09:00,106.1
2025-05-22 10:10:00,106.3
2025-05-22 10:11:00,102.45
2025-05-22 10:12:00,102.44999999999999
2025-05-22 10:13:00,100.5
2025-05-22 10:14:00,97.85
2025-05-22 10:15:00,97.2
2025-05-22 10:16:00,94.6
2025-05-22 10:17:00,94.9
2025-05-22 10:18:00,92.6
2025-05-22 10:19:00,91.15
2025-05-22 10:20:00,90.55
2025-05-22 10:21:00,89.0
2025-05-22 10:22:00,88.44999999999999
2025-05-22 10:23:00,87.7
2025-05-22 10:24:00,87.45
2025-05-22 10:25:00,86.19999999999999
2025-05-22 10:26:00,84.6
2025-05-22 10:27:00,83.7
2025-05-22 10:28:00,91.94999999999999
2025-05-22 10:29:00,79.85
2025-05-22 10:30:00,92.80000000000001
2025-05-22 10:31:00,89.35
2025-05-22 10:32:00,85.55000000000001
2025-05-22 10:33:00,81.6
2025-05-22 10:34:00,79.75
2025-05-22 10:35:00,77.45
2025-05-22 10:36:00,76.2
2025-05-22 10:37:00,75.85
2025-05-22 10:38:00,97.15
2025-05-22 10:39:00,75.8
2025-05-22 10:40:00,73.85
2025-05-22 10:41:00,73.75
2025-05-22 10:42:00,75.4
2025-05-22 10:43:00,75.44999999999999
2025-05-22 10:44:00,74.05
2025-05-22 10:45:00,72.75
2025-05-22 10:46:00,74.3
2025-05-22 10:47:00,71.4
2025-05-22 10:48:00,72.7
2025-05-22 10:49:00,72.6
2025-05-22 10:50:00,74.75
2025-05-22 10:51:00,72.75
2025-05-22 10:52:00,69.6
2025-05-22 10:53:00,68.95
2025-05-22 10:54:00,68.9
2025-05-22 10:55:00,68.55
2025-05-22 10:56:00,65.9
2025-05-22 10:57:00,66.5
2025-05-22 10:58:00,65.7
2025-05-22 10:59:00,65.0
2025-05-22 11:00:00,63.2
2025-05-22 11:01:00,63.8
2025-05-22 11:02:00,63.1
2025-05-22 11:03:00,63.400000000000006
2025-05-22 11:04:00,63.3
2025-05-22 11:05:00,64.65
2025-05-22 11:06:00,69.0
2025-05-22 11:07:00,68.15
2025-05-22 11:08:00,63.599999999999994
2025-05-22 11:09:00,62.35
2025-05-22 11:10:00,60.349999999999994
2025-05-22 11:11:00,61.3
2025-05-22 11:12:00,61.0
2025-05-22 11:13:00,60.599999999999994
2025-05-22 11:14:00,59.4
2025-05-22 11:15:00,60.4
2025-05-22 11:16:00,56.75
2025-05-22 11:17:00,56.25
2025-05-22 11:18:00,54.6
2025-05-22 11:19:00,55.8
2025-05-22 11:20:00,54.1
2025-05-22 11:21:00,57.85
2025-05-22 11:22:00,61.95
2025-05-22 11:23:00,62.55
2025-05-22 11:24:00,72.25
2025-05-22 11:25:00,70.5
2025-05-22 11:26:00,68.1
2025-05-22 11:27:00,72.6
2025-05-22 11:28:00,76.15
2025-05-22 11:29:00,74.15
2025-05-22 11:30:00,68.6
2025-05-22 11:31:00,66.4
2025-05-22 11:32:00,69.25
2025-05-22 11:33:00,72.6
2025-05-22 11:34:00,77.55
2025-05-22 11:35:00,77.95
2025-05-22 11:36:00,77.1
2025-05-22 11:37:00,72.69999999999999
2025-05-22 11:38:00,77.94999999999999
2025-05-22 11:39:00,75.25
2025-05-22 11:40:00,76.80000000000001
2025-05-22 11:41:00,83.94999999999999
2025-05-22 11:42:00,88.35
2025-05-22 11:43:00,89.75
2025-05-22 11:44:00,81.65
2025-05-22 11:45:00,85.35
2025-05-22 11:46:00,79.19999999999999
2025-05-22 11:47:00,79.55000000000001
2025-05-22 11:48:00,85.95
2025-05-22 11:49:00,75.0
2025-05-22 11:50:00,72.65
2025-05-22 11:51:00,81.05
2025-05-22 11:52:00,79.4
2025-05-22 11:53:00,81.6
2025-05-22 11:54:00,85.4
2025-05-22 11:55:00,83.35
2025-05-22 11:56:00,90.6
2025-05-22 11:57:00,91.15
2025-05-22 11:58:00,86.0
2025-05-22 11:59:00,82.05
2025-05-22 12:00:00,86.1
2025-05-22 12:01:00,79.55
2025-05-22 12:02:00,73.65
2025-05-22 12:03:00,79.05000000000001
2025-05-22 12:04:00,75.6
2025-05-22 12:05:00,74.44999999999999
2025-05-22 12:06:00,75.45
2025-05-22 12:07:00,78.1
2025-05-22 12:08:00,76.05
2025-05-22 12:09:00,77.35
2025-05-22 12:10:00,78.2
2025-05-22 12:11:00,78.0
2025-05-22 12:12:00,78.2
2025-05-22 12:13:00,76.9
2025-05-22 12:14:00,66.1
2025-05-22 12:15:00,64.95
2025-05-22 12:16:00,66.7
2025-05-22 12:17:00,66.25
2025-05-22 12:18:00,72.65
2025-05-22 12:19:00,77.35
2025-05-22 12:20:00,77.55000000000001
2025-05-22 12:21:00,72.2
2025-05-22 12:22:00,74.65
2025-05-22 12:23:00,77.05
2025-05-22 12:24:00,75.19999999999999
2025-05-22 12:25:00,79.4
2025-05-22 12:26:00,78.65
2025-05-22 12:27:00,79.6
2025-05-22 12:28:00,81.55000000000001
2025-05-22 12:29:00,80.4
2025-05-22 12:30:00,81.80000000000001
2025-05-22 12:31:00,76.15
2025-05-22 12:32:00,73.5
2025-05-22 12:33:00,72.25
2025-05-22 12:34:00,71.25
2025-05-22 12:35:00,70.5
2025-05-22 12:36:00,66.15
2025-05-22 12:37:00,66.05
2025-05-22 12:38:00,64.45
2025-05-22 12:39:00,59.95
2025-05-22 12:40:00,58.7
2025-05-22 12:41:00,60.1
2025-05-22 12:42:00,59.150000000000006
2025-05-22 12:43:00,58.45
2025-05-22 12:44:00,59.5
2025-05-22 12:45:00,62.95
2025-05-22 12:46:00,65.44999999999999
2025-05-22 12:47:00,70.35
2025-05-22 12:48:00,72.4
2025-05-22 12:49:00,76.15
2025-05-22 12:50:00,86.2
2025-05-22 12:51:00,78.5
2025-05-22 12:52:00,77.15
2025-05-22 12:53:00,75.80000000000001
2025-05-22 12:54:00,74.94999999999999
2025-05-22 12:55:00,74.35
2025-05-22 12:56:00,75.19999999999999
2025-05-22 12:57:00,73.25
2025-05-22 12:58:00,72.1
2025-05-22 12:59:00,71.15
2025-05-22 13:00:00,69.05
2025-05-22 13:01:00,69.1
2025-05-22 13:02:00,69.19999999999999
2025-05-22 13:03:00,68.7
2025-05-22 13:04:00,68.15
2025-05-22 13:05:00,66.7
2025-05-22 13:06:00,65.95
2025-05-22 13:07:00,64.45
2025-05-22 13:08:00,63.4
2025-05-22 13:09:00,63.5
2025-05-22 13:10:00,65.2
2025-05-22 13:11:00,65.45
2025-05-22 13:12:00,66.75
2025-05-22 13:13:00,67.65
2025-05-22 13:14:00,63.150000000000006
2025-05-22 13:15:00,62.8
2025-05-22 13:16:00,62.449999999999996
2025-05-22 13:17:00,63.15
2025-05-22 13:18:00,64.05
2025-05-22 13:19:00,63.75
2025-05-22 13:20:00,62.4
2025-05-22 13:21:00,62.349999999999994
2025-05-22 13:22:00,58.300000000000004
2025-05-22 13:23:00,56.900000000000006
2025-05-22 13:24:00,55.599999999999994
2025-05-22 13:25:00,56.550000000000004
2025-05-22 13:26:00,57.3
2025-05-22 13:27:00,57.15
2025-05-22 13:28:00,55.45
2025-05-22 13:29:00,55.35
2025-05-22 13:30:00,52.75
2025-05-22 13:31:00,51.45
2025-05-22 13:32:00,50.25
2025-05-22 13:33:00,47.95
2025-05-22 13:34:00,48.0
2025-05-22 13:35:00,46.45
2025-05-22 13:36:00,47.4
2025-05-22 13:37:00,48.099999999999994
2025-05-22 13:38:00,47.650000000000006
2025-05-22 13:39:00,46.099999999999994
2025-05-22 13:40:00,47.9
2025-05-22 13:41:00,52.699999999999996
2025-05-22 13:42:00,54.150000000000006
2025-05-22 13:43:00,45.3
2025-05-22 13:44:00,44.8
2025-05-22 13:45:00,44.900000000000006
2025-05-22 13:46:00,43.599999999999994
2025-05-22 13:47:00,42.95
2025-05-22 13:48:00,51.3
2025-05-22 13:49:00,49.65
2025-05-22 13:50:00,52.199999999999996
2025-05-22 13:51:00,53.55
2025-05-22 13:52:00,39.25
2025-05-22 13:53:00,39.15
2025-05-22 13:54:00,39.45
2025-05-22 13:55:00,39.0
2025-05-22 13:56:00,56.4
2025-05-22 13:57:00,58.95
2025-05-22 13:58:00,37.5
2025-05-22 13:59:00,57.9
2025-05-22 14:00:00,56.599999999999994
2025-05-22 14:01:00,37.95
2025-05-22 14:02:00,57.05
2025-05-22 14:03:00,51.65
2025-05-22 14:04:00,48.0
2025-05-22 14:05:00,47.95
2025-05-22 14:06:00,52.050000000000004
2025-05-22 14:07:00,53.5
2025-05-22 14:08:00,54.8
2025-05-22 14:09:00,32.650000000000006
2025-05-22 14:10:00,31.8
2025-05-22 14:11:00,31.549999999999997
2025-05-22 14:12:00,55.85
2025-05-22 14:13:00,54.0
2025-05-22 14:14:00,54.5
2025-05-22 14:15:00,53.85
2025-05-22 14:16:00,29.950000000000003
2025-05-22 14:17:00,34.3
2025-05-22 14:18:00,41.05
2025-05-22 14:19:00,39.7
2025-05-22 14:20:00,49.5
2025-05-22 14:21:00,46.45
2025-05-22 14:22:00,55.150000000000006
2025-05-22 14:23:00,50.550000000000004
2025-05-22 14:24:00,49.0
2025-05-22 14:25:00,53.45
2025-05-22 14:26:00,52.9
2025-05-22 14:27:00,53.25
2025-05-22 14:28:00,47.3
2025-05-22 14:29:00,49.900000000000006
2025-05-22 14:30:00,47.150000000000006
2025-05-22 14:31:00,48.25
2025-05-22 14:32:00,43.800000000000004
2025-05-22 14:33:00,47.75
2025-05-22 14:34:00,51.55
2025-05-22 14:35:00,49.2
2025-05-22 14:36:00,51.75
2025-05-22 14:37:00,42.05
2025-05-22 14:38:00,42.0
2025-05-22 14:39:00,52.45
2025-05-22 14:40:00,52.9
2025-05-22 14:41:00,93.7
2025-05-22 14:42:00,76.19999999999999
2025-05-22 14:43:00,68.55
2025-05-22 14:44:00,70.6
2025-05-22 14:45:00,66.6
2025-05-22 14:46:00,58.45
2025-05-22 14:47:00,42.2
2025-05-22 14:48:00,38.900000000000006
2025-05-22 14:49:00,45.8
2025-05-22 14:50:00,69.95
2025-05-22 14:51:00,58.849999999999994
2025-05-22 14:52:00,50.9
2025-05-22 14:53:00,46.25
2025-05-22 14:54:00,45.05
2025-05-22 14:55:00,47.150000000000006
2025-05-22 14:56:00,45.8
2025-05-22 14:57:00,43.55
2025-05-22 14:58:00,43.65
2025-05-22 14:59:00,53.7
2025-05-22 15:00:00,38.9
2025-05-22 15:01:00,29.599999999999998
2025-05-22 15:02:00,25.049999999999997
2025-05-22 15:03:00,23.549999999999997
2025-05-22 15:04:00,19.65
2025-05-22 15:05:00,16.4
2025-05-22 15:06:00,13.7
2025-05-22 15:07:00,12.45
2025-05-22 15:08:00,12.95
2025-05-22 15:09:00,12.55
2025-05-22 15:10:00,17.75
2025-05-22 15:11:00,11.600000000000001
2025-05-22 15:12:00,11.25
2025-05-22 15:13:00,9.4
2025-05-22 15:14:00,8.55
2025-05-22 15:15:00,7.550000000000001
2025-05-22 15:16:00,7.2
2025-05-22 15:17:00,10.049999999999999
