datetime,straddle_value
2025-05-15 09:16:00,149.55
2025-05-15 09:17:00,151.05
2025-05-15 09:18:00,152.4
2025-05-15 09:19:00,153.75
2025-05-15 09:20:00,150.2
2025-05-15 09:21:00,158.60000000000002
2025-05-15 09:22:00,156.45
2025-05-15 09:23:00,150.5
2025-05-15 09:24:00,153.14999999999998
2025-05-15 09:25:00,147.6
2025-05-15 09:26:00,145.35000000000002
2025-05-15 09:27:00,142.35
2025-05-15 09:28:00,134.45
2025-05-15 09:29:00,135.2
2025-05-15 09:30:00,130.2
2025-05-15 09:31:00,128.9
2025-05-15 09:32:00,124.15
2025-05-15 09:33:00,116.94999999999999
2025-05-15 09:34:00,120.19999999999999
2025-05-15 09:35:00,121.6
2025-05-15 09:36:00,134.8
2025-05-15 09:37:00,137.9
2025-05-15 09:38:00,136.10000000000002
2025-05-15 09:39:00,134.5
2025-05-15 09:40:00,127.4
2025-05-15 09:41:00,125.95
2025-05-15 09:42:00,126.9
2025-05-15 09:43:00,130.55
2025-05-15 09:44:00,130.55
2025-05-15 09:45:00,137.75
2025-05-15 09:46:00,155.7
2025-05-15 09:47:00,157.75
2025-05-15 09:48:00,153.8
2025-05-15 09:49:00,156.0
2025-05-15 09:50:00,156.1
2025-05-15 09:51:00,164.75
2025-05-15 09:52:00,159.8
2025-05-15 09:53:00,166.25
2025-05-15 09:54:00,166.65
2025-05-15 09:55:00,162.5
2025-05-15 09:56:00,167.6
2025-05-15 09:57:00,169.9
2025-05-15 09:58:00,173.5
2025-05-15 09:59:00,178.2
2025-05-15 10:00:00,170.65
2025-05-15 10:01:00,173.10000000000002
2025-05-15 10:02:00,163.7
2025-05-15 10:03:00,160.89999999999998
2025-05-15 10:04:00,153.15
2025-05-15 10:05:00,152.45
2025-05-15 10:06:00,161.7
2025-05-15 10:07:00,158.14999999999998
2025-05-15 10:08:00,157.35
2025-05-15 10:09:00,154.55
2025-05-15 10:10:00,160.65
2025-05-15 10:11:00,164.85
2025-05-15 10:12:00,157.95
2025-05-15 10:13:00,162.9
2025-05-15 10:14:00,175.2
2025-05-15 10:15:00,184.0
2025-05-15 10:16:00,189.55
2025-05-15 10:17:00,188.15
2025-05-15 10:18:00,190.8
2025-05-15 10:19:00,170.65
2025-05-15 10:20:00,168.6
2025-05-15 10:21:00,172.95
2025-05-15 10:22:00,168.25
2025-05-15 10:23:00,164.85
2025-05-15 10:24:00,161.0
2025-05-15 10:25:00,165.89999999999998
2025-05-15 10:26:00,167.65
2025-05-15 10:27:00,178.6
2025-05-15 10:28:00,178.45
2025-05-15 10:29:00,173.14999999999998
2025-05-15 10:30:00,170.0
2025-05-15 10:31:00,190.14999999999998
2025-05-15 10:32:00,196.0
2025-05-15 10:33:00,181.25
2025-05-15 10:34:00,185.1
2025-05-15 10:35:00,183.7
2025-05-15 10:36:00,177.5
2025-05-15 10:37:00,197.2
2025-05-15 10:38:00,193.45
2025-05-15 10:39:00,189.9
2025-05-15 10:40:00,212.1
2025-05-15 10:41:00,218.05
2025-05-15 10:42:00,224.8
2025-05-15 10:43:00,223.75
2025-05-15 10:44:00,227.05
2025-05-15 10:45:00,222.85
2025-05-15 10:46:00,221.8
2025-05-15 10:47:00,214.55
2025-05-15 10:48:00,201.55
2025-05-15 10:49:00,204.05
2025-05-15 10:50:00,207.55
2025-05-15 10:51:00,213.5
2025-05-15 10:52:00,209.95
2025-05-15 10:53:00,205.05
2025-05-15 10:54:00,205.2
2025-05-15 10:55:00,202.95
2025-05-15 10:56:00,207.25
2025-05-15 10:57:00,215.85000000000002
2025-05-15 10:58:00,212.10000000000002
2025-05-15 10:59:00,226.39999999999998
2025-05-15 11:00:00,224.2
2025-05-15 11:01:00,221.5
2025-05-15 11:02:00,208.75
2025-05-15 11:03:00,207.45
2025-05-15 11:04:00,206.5
2025-05-15 11:05:00,196.95
2025-05-15 11:06:00,197.3
2025-05-15 11:07:00,198.05
2025-05-15 11:08:00,201.0
2025-05-15 11:09:00,195.65
2025-05-15 11:10:00,192.2
2025-05-15 11:11:00,193.75
2025-05-15 11:12:00,183.5
2025-05-15 11:13:00,185.6
2025-05-15 11:14:00,170.55
2025-05-15 11:15:00,172.5
2025-05-15 11:16:00,182.15
2025-05-15 11:17:00,179.7
2025-05-15 11:18:00,187.8
2025-05-15 11:19:00,183.39999999999998
2025-05-15 11:20:00,172.89999999999998
2025-05-15 11:21:00,169.64999999999998
2025-05-15 11:22:00,169.85
2025-05-15 11:23:00,166.5
2025-05-15 11:24:00,163.5
2025-05-15 11:25:00,167.85
2025-05-15 11:26:00,192.05
2025-05-15 11:27:00,184.75
2025-05-15 11:28:00,189.1
2025-05-15 11:29:00,191.5
2025-05-15 11:30:00,195.85000000000002
2025-05-15 11:31:00,187.5
2025-05-15 11:32:00,169.05
2025-05-15 11:33:00,168.65
2025-05-15 11:34:00,188.3
2025-05-15 11:35:00,176.25
2025-05-15 11:36:00,179.85000000000002
2025-05-15 11:37:00,185.3
2025-05-15 11:38:00,192.55
2025-05-15 11:39:00,183.95
2025-05-15 11:40:00,189.3
