datetime,straddle_value
2025-06-02 09:16:00,436.05
2025-06-02 09:17:00,444.1
2025-06-02 09:18:00,433.15
2025-06-02 09:19:00,421.9
2025-06-02 09:20:00,427.85
2025-06-02 09:21:00,419.95
2025-06-02 09:22:00,416.1
2025-06-02 09:23:00,415.75
2025-06-02 09:24:00,409.95
2025-06-02 09:25:00,406.1
2025-06-02 09:26:00,405.75
2025-06-02 09:27:00,404.3
2025-06-02 09:28:00,408.25
2025-06-02 09:29:00,397.8
2025-06-02 09:30:00,395.2
2025-06-02 09:31:00,391.15
2025-06-02 09:32:00,387.55
2025-06-02 09:33:00,386.35
2025-06-02 09:34:00,387.29999999999995
2025-06-02 09:35:00,386.45
2025-06-02 09:36:00,379.85
2025-06-02 09:37:00,379.8
2025-06-02 09:38:00,375.55
2025-06-02 09:39:00,378.25
2025-06-02 09:40:00,374.04999999999995
2025-06-02 09:41:00,377.05
2025-06-02 09:42:00,375.9
2025-06-02 09:43:00,379.2
2025-06-02 09:44:00,369.25
2025-06-02 09:45:00,370.35
2025-06-02 09:46:00,371.20000000000005
2025-06-02 09:47:00,371.05
2025-06-02 09:48:00,371.45
2025-06-02 09:49:00,369.1
2025-06-02 09:50:00,369.5
2025-06-02 09:51:00,372.4
2025-06-02 09:52:00,376.15
2025-06-02 09:53:00,371.7
2025-06-02 09:54:00,371.9
2025-06-02 09:55:00,371.85
2025-06-02 09:56:00,367.75
2025-06-02 09:57:00,372.05
2025-06-02 09:58:00,370.35
2025-06-02 09:59:00,372.6
2025-06-02 10:00:00,372.70000000000005
2025-06-02 10:01:00,374.05
2025-06-02 10:02:00,374.25
2025-06-02 10:03:00,377.15
2025-06-02 10:04:00,382.6
2025-06-02 10:05:00,384.0
2025-06-02 10:06:00,387.05
2025-06-02 10:07:00,388.05
2025-06-02 10:08:00,387.20000000000005
2025-06-02 10:09:00,388.7
2025-06-02 10:10:00,392.3
2025-06-02 10:11:00,395.65
2025-06-02 10:12:00,391.04999999999995
2025-06-02 10:13:00,389.4
2025-06-02 10:14:00,390.4
2025-06-02 10:15:00,392.54999999999995
2025-06-02 10:16:00,391.6
2025-06-02 10:17:00,394.6
2025-06-02 10:18:00,394.95
2025-06-02 10:19:00,398.0
2025-06-02 10:20:00,397.45
2025-06-02 10:21:00,398.04999999999995
2025-06-02 10:22:00,397.1
2025-06-02 10:23:00,400.95
2025-06-02 10:24:00,402.65
2025-06-02 10:25:00,402.1
2025-06-02 10:26:00,406.35
2025-06-02 10:27:00,406.8
2025-06-02 10:28:00,406.70000000000005
2025-06-02 10:29:00,405.8
2025-06-02 10:30:00,407.55
2025-06-02 10:31:00,409.05
2025-06-02 10:32:00,411.5
2025-06-02 10:33:00,413.25
2025-06-02 10:34:00,413.95000000000005
2025-06-02 10:35:00,418.29999999999995
2025-06-02 10:36:00,415.85
2025-06-02 10:37:00,419.2
2025-06-02 10:38:00,421.9
2025-06-02 10:39:00,426.5
2025-06-02 10:40:00,430.2
2025-06-02 10:41:00,426.55
2025-06-02 10:42:00,431.55
2025-06-02 10:43:00,435.4
2025-06-02 10:44:00,436.9
2025-06-02 10:45:00,436.85
2025-06-02 10:46:00,430.15
2025-06-02 10:47:00,433.1
2025-06-02 10:48:00,436.1
2025-06-02 10:49:00,431.9
2025-06-02 10:50:00,432.5
2025-06-02 10:51:00,427.5
2025-06-02 10:52:00,430.85
2025-06-02 10:53:00,429.65
2025-06-02 10:54:00,422.25
2025-06-02 10:55:00,427.05
2025-06-02 10:56:00,428.35
2025-06-02 10:57:00,429.04999999999995
2025-06-02 10:58:00,427.75
2025-06-02 10:59:00,429.95
2025-06-02 11:00:00,430.05
2025-06-02 11:01:00,430.3
2025-06-02 11:02:00,429.35
2025-06-02 11:03:00,431.35
2025-06-02 11:04:00,431.45
2025-06-02 11:05:00,434.5
2025-06-02 11:06:00,434.79999999999995
2025-06-02 11:07:00,431.8
2025-06-02 11:08:00,433.0
2025-06-02 11:09:00,435.45
2025-06-02 11:10:00,436.6
2025-06-02 11:11:00,435.2
2025-06-02 11:12:00,437.05
2025-06-02 11:13:00,434.85
2025-06-02 11:14:00,435.65
2025-06-02 11:15:00,436.15
2025-06-02 11:16:00,431.65
2025-06-02 11:17:00,432.6
2025-06-02 11:18:00,433.85
2025-06-02 11:19:00,433.5
2025-06-02 11:20:00,441.9
2025-06-02 11:21:00,442.70000000000005
